,ID,Acronym,Name,Parent Region,Layer,Ancestors,Graph Order
437,232,COApl3,"Cortical amygdalar area, posterior part, lateral zone, layer 3",Cerebral cortex,3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Cortical amygdalar area', 'Cortical amygdalar area, posterior part', 'Cortical amygdalar area, posterior part, lateral zone']",437
438,663,COApm,"Cortical amygdalar area, posterior part, medial zone",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Cortical amygdalar area', 'Cortical amygdalar area, posterior part']",438
439,592,COApm1-2,"Cortical amygdalar area, posterior part, medial zone, layers 1-2",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Cortical amygdalar area', 'Cortical amygdalar area, posterior part', 'Cortical amygdalar area, posterior part, medial zone']",439
440,383,COApm1-3,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Cortical amygdalar area', 'Cortical amygdalar area, posterior part', 'Cortical amygdalar area, posterior part, medial zone']",440
441,240,COApm1,"Cortical amygdalar area, posterior part, medial zone, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Cortical amygdalar area', 'Cortical amygdalar area, posterior part', 'Cortical amygdalar area, posterior part, medial zone']",441
442,248,COApm2,"Cortical amygdalar area, posterior part, medial zone, layer 2",Cerebral cortex,2,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Cortical amygdalar area', 'Cortical amygdalar area, posterior part', 'Cortical amygdalar area, posterior part, medial zone']",442
443,256,COApm3,"Cortical amygdalar area, posterior part, medial zone, layer 3",Cerebral cortex,3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Cortical amygdalar area', 'Cortical amygdalar area, posterior part', 'Cortical amygdalar area, posterior part, medial zone']",443
444,788,PAA,Piriform-amygdalar area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas']",444
445,400,PAA1-3,"Piriform-amygdalar area, layers 1-3",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Piriform-amygdalar area']",445
446,408,PAA1,"Piriform-amygdalar area, molecular layer",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Piriform-amygdalar area']",446
447,416,PAA2,"Piriform-amygdalar area, pyramidal layer",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Piriform-amygdalar area']",447
448,424,PAA3,"Piriform-amygdalar area, polymorph layer",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Piriform-amygdalar area']",448
449,566,TR,Postpiriform transition area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas']",449
450,517,TR1-3,"Postpiriform transition area, layers 1-3",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Postpiriform transition area']",450
451,1140,TR1,"Postpiriform transition area, layers 1",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Postpiriform transition area']",451
452,1141,TR2,"Postpiriform transition area, layers 2",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Postpiriform transition area']",452
453,1142,TR3,"Postpiriform transition area, layers 3",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Olfactory areas', 'Postpiriform transition area']",453
454,1089,HPF,Hippocampal formation,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate']",454
455,1080,HIP,Hippocampal region,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation']",455
